id,customer_id,last_name,credit_score,country,gender,age,tenure,acc_balance,prod_count,has_card,is_active,estimated_salary,exit_status
0,15788291,Iredale,559.0,France,Male,28.0,1,149989.39,1.0,1.0,1.0,67622.46,0
1,15642816,Hs?,694.0,France,Female,37.0,7,114510.35,2.0,0.0,0.0,182797.86,0
2,15632272,T'ien,585.0,,Female,45.0,8,,2.0,1.0,1.0,170338.35,0
3,15685826,Hightower,589.0,Spain,Male,25.0,0,166082.18,1.0,1.0,1.0,166476.46,0
4,15658032,Hopkins,701.0,France,Male,39.0,2,0.0,2.0,1.0,0.0,82526.92,0
5,15650924,Ch'ien,587.0,France,Male,36.0,1,171770.55,1.0,1.0,1.0,70954.66,0
6,15786905,Russo,749.0,Germany,Female,40.0,8,141782.57,2.0,1.0,0.0,86333.63,0
7,15756920,Ch'iu,712.0,Spain,Male,40.0,8,,2.0,0.0,1.0,5791.85,0
8,15681410,Chikwendu,,Germany,Male,49.0,8,,1.0,1.0,0.0,152884.85,1
9,15742681,Onwuamaeze,769.0,France,Male,38.0,4,106938.11,1.0,1.0,0.0,173516.71,0
10,15725665,Lo Duca,646.0,France,Male,55.0,1,0.0,2.0,0.0,1.0,174916.85,1
11,15736407,Caffyn,718.0,France,Female,25.0,8,137810.24,1.0,1.0,0.0,102908.41,0
12,15813741,Nnachetam,809.0,,Male,48.0,8,154712.58,1.0,1.0,0.0,163911.32,1
13,15623695,Nwokezuike,675.0,France,Male,36.0,7,,2.0,1.0,1.0,138700.75,0
14,15650424,Nnachetam,694.0,Germany,Male,54.0,9,109118.5,1.0,0.0,0.0,598.57,1
15,15691627,Nucci,584.0,France,Male,53.0,2,0.0,2.0,0.0,1.0,119216.46,1
16,15756425,Barnes,660.0,France,Male,29.0,5,,2.0,0.0,0.0,96847.91,0
17,15736016,Fanucci,637.0,France,Male,28.0,7,0.0,2.0,1.0,1.0,63736.17,0
18,15741554,Nwankwo,684.0,France,Male,35.0,6,,2.0,1.0,0.0,168544.85,0
19,15750141,Tseng,733.0,France,Male,41.0,5,0.0,2.0,1.0,1.0,81776.84,0
20,15771742,Shih,684.0,Spain,Male,42.0,9,0.0,2.0,1.0,0.0,97640.2,0
21,15761506,T'ao,776.0,Germany,Female,38.0,7,160541.08,2.0,0.0,0.0,159463.2,0
22,15717010,Maclean,648.0,,Male,39.0,9,0.0,2.0,1.0,0.0,122373.42,0
23,15762499,Ibezimako,581.0,Spain,Male,32.0,5,129845.24,1.0,0.0,0.0,38772.93,0
24,15750141,Onwumelu,579.0,Germany,Male,28.0,9,109844.81,2.0,1.0,0.0,137939.39,0
25,15713352,Udinese,648.0,France,Male,46.0,10,0.0,2.0,1.0,1.0,166876.55,0
26,15661249,Martin,677.0,Germany,Male,35.0,3,,2.0,1.0,1.0,130819.57,0
27,15704763,Kozlova,523.0,Spain,Female,39.0,1,143903.11,1.0,1.0,1.0,118711.75,0
28,15802570,Lucchesi,582.0,France,Male,34.0,6,0.0,2.0,1.0,0.0,63795.8,0
29,15642824,Ejimofor,632.0,Spain,Female,43.0,6,0.0,2.0,1.0,1.0,162812.5,0
30,15747542,Shih,717.0,France,Female,52.0,5,0.0,2.0,1.0,1.0,145558.76,0
31,15667620,Paramor,612.0,Germany,Female,48.0,8,140745.33,1.0,1.0,0.0,64839.23,0
32,15641490,Hsiung,775.0,France,Female,29.0,4,0.0,1.0,1.0,1.0,173486.46,0
33,15656062,Mazzanti,728.0,,Female,53.0,4,0.0,2.0,1.0,1.0,131716.43,1
34,15783030,Owens,567.0,France,Female,54.0,7,0.0,1.0,1.0,0.0,77867.23,1
35,15809872,Ts'ui,619.0,,Male,34.0,8,0.0,2.0,1.0,0.0,55853.51,0
36,15735221,Y?,679.0,France,Male,32.0,2,132578.66,1.0,1.0,0.0,112289.06,0
37,15798824,Hsueh,644.0,France,Female,45.0,1,0.0,2.0,0.0,1.0,177624.01,0
38,15803457,Yen,750.0,,Female,40.0,9,0.0,1.0,1.0,1.0,151623.71,0
39,15707025,Chukwudi,652.0,Germany,Female,50.0,4,127864.4,1.0,0.0,0.0,82696.84,1
40,15694556,Ozerova,671.0,France,Female,33.0,8,87105.32,1.0,1.0,0.0,95936.84,0
